AGN,,,,SN Ia,,,,SN II,,,,Bogus,,,,
Classification,Object ID,Object ID with Comma,,Classification,Object ID,Object ID with Comma,,Classification,Object ID,Object ID with Comma,1,"""ZTF18aabengc"""," ""rb"": 0.33"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aamnrtk"""," ""ZTF18aamnrtk"",",18," {""comment"": ""SN Ia 91bg-like"""," ""ZTF19aaeopqn"""," ""ZTF19aaeopqn"",",," {""comment"": ""SN II"""," ""ZTF18accfjmp"""," ""ZTF18accfjmp"",",43,"""ZTF18aaaqynr"""," ""rb"": 0.58"," ""Stellar""",,
" {""comment"": ""AGN"""," ""ZTF18aarrwmi"""," ""ZTF18aarrwmi"",",," {""comment"": ""SN Ia 91bg-like"""," ""ZTF19aarnrbw"""," ""ZTF19aarnrbw"",",," {""comment"": ""SN II"""," ""ZTF19abqgtqo"""," ""ZTF19abqgtqo"",",44,"""ZTF17aaclnzg"""," ""rb"": 0.593333"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aaseyca"""," ""ZTF18aaseyca"",",," {""comment"": ""SN Ia 91bg-like"""," ""ZTF19aaafica"""," ""ZTF19aaafica"",",," {""comment"": ""SN II"""," ""ZTF19abqgtqo"""," ""ZTF19abqgtqo"",",45,"""ZTF18aabatax"""," ""rb"": 0.713333"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aaxvxzp"""," ""ZTF18aaxvxzp"",",," {""comment"": ""SN Ia 91bg-like"""," ""ZTF19abpqvdh"""," ""ZTF19abpqvdh"",",," {""comment"": ""SN II"""," ""ZTF18abihces"""," ""ZTF18abihces"",",46,"""ZTF17aaajahg"""," ""rb"": 0.56"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aahbiav"""," ""ZTF18aahbiav"",",," {""comment"": ""SN Ia 91bg"""," ""ZTF19aamgghn"""," ""ZTF19aamgghn"",",," {""comment"": ""SN II"""," ""ZTF19abulrfa"""," ""ZTF19abulrfa"",",47,"""ZTF18aabakkm"""," ""rb"": 0.556667"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aahaymm"""," ""ZTF18aahaymm"",",19," {""comment"": ""SN Ia 91T-like"""," ""ZTF18aaoxryq"""," ""ZTF18aaoxryq"",",," {""comment"": ""SN II"""," ""ZTF19abejaiy"""," ""ZTF19abejaiy"",",48,"""ZTF18aabaisr"""," ""rb"": 0.35"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aarqhqb"""," ""ZTF18aarqhqb"",",20," {""comment"": ""SN Ia 91T-like"""," ""ZTF18aapqwyv"""," ""ZTF18aapqwyv"",",," {""comment"": ""SN II"""," ""ZTF19abrlvij"""," ""ZTF19abrlvij"",",49,"""ZTF18aabamdr"""," ""rb"": 0.443333"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aauagzd"""," ""ZTF18aauagzd"",",21," {""comment"": ""SN Ia 91T-like"""," ""ZTF18acbwiic"""," ""ZTF18acbwiic"",",," {""comment"": ""SN II"""," ""ZTF19abueupg"""," ""ZTF19abueupg"",",50,"""ZTF18aaayeav"""," ""rb"": 0.606667"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aaxztwj"""," ""ZTF18aaxztwj"",",," {""comment"": ""SN Ia 91T-like"""," ""ZTF18aahsmrw"""," ""ZTF18aahsmrw"",",," {""comment"": ""SN II"""," ""ZTF19abmxtrm"""," ""ZTF19abmxtrm"",",,"""ZTF18aaawcmw"""," ""rb"": 0.313333"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aarpgds"""," ""ZTF18aarpgds"",",," {""comment"": ""SN Ia 91T-like"""," ""ZTF19aarprog"""," ""ZTF19aarprog"",",," {""comment"": ""SN II"""," ""ZTF19aamggmk"""," ""ZTF19aamggmk"",",51,"""ZTF18aabectc"""," ""rb"": 0.313333"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aagvjgn"""," ""ZTF18aagvjgn"",",," {""comment"": ""SN Ia 91T-like"""," ""ZTF19accibkt"""," ""ZTF19accibkt"",",," {""comment"": ""SN II"""," ""ZTF18absnsqx"""," ""ZTF18absnsqx"",",52,"""ZTF17aabxkng"""," ""rb"": 0.296667"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aalogrm"""," ""ZTF18aalogrm"",",," {""comment"": ""SN Ia 91T-like"""," ""ZTF19aaxffum"""," ""ZTF19aaxffum"",",," {""comment"": ""SN II"""," ""ZTF18acbwaxk"""," ""ZTF18acbwaxk"",",53,"""ZTF18aaakbtj"""," ""rb"": 0.23"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aaxwjxd"""," ""ZTF18aaxwjxd"",",22," {""comment"": ""SN Ia 91T-like"""," ""ZTF19abyfbii"""," ""ZTF19abyfbii"",",," {""comment"": ""SN II"""," ""ZTF19abygvmp"""," ""ZTF19abygvmp"",",54,"""ZTF18aabpyxi"""," ""rb"": 0.246667"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aarpcuc"""," ""ZTF18aarpcuc"",",," {""comment"": ""SN Ia 91T-like"""," ""ZTF19acchjle"""," ""ZTF19acchjle"",",," {""comment"": ""SN II"""," ""ZTF19aasmddt"""," ""ZTF19aasmddt"",",55,"""ZTF18aabmvqj"""," ""rb"": 0.406667"," ""Stellar""",,
" {""comment"": ""AGN"""," ""ZTF18abfdldy"""," ""ZTF18abfdldy"",",," {""comment"": ""SN Ia 91T-like"""," ""ZTF19aaujzqh"""," ""ZTF19aaujzqh"",",," {""comment"": ""SN II"""," ""ZTF19acbpsuf"""," ""ZTF19acbpsuf"",",,"""ZTF18aabarln"""," ""rb"": 0.656667"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aaumvoh"""," ""ZTF18aaumvoh"",",," {""comment"": ""SN Ia 91T-like"""," ""ZTF19aarstfg"""," ""ZTF19aarstfg"",",," {""comment"": ""SN II"""," ""ZTF19acbpqlh"""," ""ZTF19acbpqlh"",",,"""ZTF18aaabeuc"""," ""rb"": 0.33"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aaunkid"""," ""ZTF18aaunkid"",",," {""comment"": ""SN Ia 91T-like"""," ""ZTF19aaknacv"""," ""ZTF19aaknacv"",",," {""comment"": ""SN II"""," ""ZTF19aarzaod"""," ""ZTF19aarzaod"",",,"""ZTF18aabmljx"""," ""rb"": 0.393333"," ""Stellar""",,
" {""comment"": ""AGN"""," ""ZTF18aaudaau"""," ""ZTF18aaudaau"",",," {""comment"": ""SN Ia 91T-like"""," ""ZTF19aawwlxc"""," ""ZTF19aawwlxc"",",," {""comment"": ""SN II"""," ""ZTF18abtjmns"""," ""ZTF18abtjmns"",",,"""ZTF18aabmxtk"""," ""rb"": 0.333333"," ""Stellar""",,
" {""comment"": ""AGN"""," ""ZTF18aagrkrz"""," ""ZTF18aagrkrz"",",," {""comment"": ""SN Ia 91T-like"""," ""ZTF18aaytovs"""," ""ZTF18aaytovs"",",," {""comment"": ""SN II"""," ""ZTF19aazfvhh"""," ""ZTF19aazfvhh"",",,"""ZTF18aabhsbo"""," ""rb"": 0.306667"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aatyodj"""," ""ZTF18aatyodj"",",," {""comment"": ""SN Ia 91T-like"""," ""ZTF19acrddcz"""," ""ZTF19acrddcz"",",," {""comment"": ""SN II"""," ""ZTF18acgvgiq"""," ""ZTF18acgvgiq"",",,"""ZTF18aabmjay"""," ""rb"": 0.336667"," ""Stellar""",,
" {""comment"": ""AGN"""," ""ZTF18abehrgr"""," ""ZTF18abehrgr"",",23," {""comment"": ""SN Ia 91T-like"""," ""ZTF18abomklq"""," ""ZTF18abomklq"",",," {""comment"": ""SN II"""," ""ZTF18acbwqbd"""," ""ZTF18acbwqbd"",",,"""ZTF18aabmjmj"""," ""rb"": 0.356667"," ""Stellar""",,
" {""comment"": ""AGN"""," ""ZTF18abfcjtr"""," ""ZTF18abfcjtr"",",," {""comment"": ""SN Ia 91T-like"""," ""ZTF18aceisbk"""," ""ZTF18aceisbk"",",," {""comment"": ""SN II"""," ""ZTF19acccgfn"""," ""ZTF19acccgfn"",",,"""ZTF18aabmxth"""," ""rb"": 0.34"," ""Stellar""",,
" {""comment"": ""AGN"""," ""ZTF18abilvuu"""," ""ZTF18abilvuu"",",24," {""comment"": ""SN Ia 91T-like"""," ""ZTF18abakjgq"""," ""ZTF18abakjgq"",",," {""comment"": ""SN II"""," ""ZTF19acbvjhh"""," ""ZTF19acbvjhh"",",,"""ZTF18aabmxts"""," ""rb"": 0.396667"," ""Stellar""",,
" {""comment"": ""AGN"""," ""ZTF18aavaosl"""," ""ZTF18aavaosl"",",25," {""comment"": ""SN Ia 91T-like"""," ""ZTF18ablwgop"""," ""ZTF18ablwgop"",",," {""comment"": ""SN II"""," ""ZTF18abslbyi"""," ""ZTF18abslbyi"",",,"""ZTF18aabmmpr"""," ""rb"": 0.366667"," ""Stellar""",,
" {""comment"": ""AGN"""," ""ZTF18aavavhm"""," ""ZTF18aavavhm"",",26," {""comment"": ""SN Ia 91T-like"""," ""ZTF19abdkdir"""," ""ZTF19abdkdir"",",," {""comment"": ""SN II"""," ""ZTF18acqsroy"""," ""ZTF18acqsroy"",",,"""ZTF18aabmmqa"""," ""rb"": 0.36"," ""Stellar""",,
" {""comment"": ""AGN"""," ""ZTF18aauanao"""," ""ZTF18aauanao"",",," {""comment"": ""SN Ia 91T-like"""," ""ZTF18aakgzot"""," ""ZTF18aakgzot"",",," {""comment"": ""SN II"""," ""ZTF18aaxnmdq"""," ""ZTF18aaxnmdq"",",,"""ZTF18aabbagt"""," ""rb"": 0.613333"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aakaaza"""," ""ZTF18aakaaza"",",27," {""comment"": ""SN Ia 91T-like"""," ""ZTF19aaocbes"""," ""ZTF19aaocbes"",",," {""comment"": ""SN II"""," ""ZTF18abspjqm"""," ""ZTF18abspjqm"",",,"""ZTF18aabatfu"""," ""rb"": 0.416667"," ""Bogus""",,
" {""comment"": ""AGN"""," ""ZTF18aapzqup"""," ""ZTF18aapzqup"",",," {""comment"": ""SN Ia 91T-like"""," ""ZTF19aamgypy"""," ""ZTF19aamgypy"",",," {""comment"": ""SN II"""," ""ZTF19aarykkb"""," ""ZTF19aarykkb"",",,"""ZTF18aaaqsnn"""," ""rb"": 0.29"," ""Bogus""",,
